word;JR;ER;AB;measure;genre;type;status
grand;n/o;n/o;n/o;welsh;blanche;category;n/o
français;thematic concept;main character;thematic concept;welsh;blanche;category;thematic concept
parfois;thematic concept;thematic concept;narrative form;welsh;blanche;category;thematic concept
écrire;thematic concept;thematic concept;narrative form;welsh;blanche;category;thematic concept
celui;n/o;n/o;language pattern;welsh;blanche;category;n/o
plus;n/o;n/o;n/o;welsh;blanche;category;n/o
même;n/o;n/o;narrative form;welsh;blanche;category;n/o
vie;thematic concept;thematic concept;thematic concept;welsh;blanche;category;thematic concept
france;thematic concept;space;thematic concept;welsh;blanche;category;thematic concept
fin;thematic concept;thematic concept;narrative structure;welsh;blanche;category;thematic concept
saint;thematic concept;thematic concept;narrative structure;welsh;blanche;category;thematic concept
souvent;thematic concept;thematic concept;narrative form;welsh;blanche;category;thematic concept
sans;n/o;thematic concept;n/o;welsh;blanche;category;n/o
chacun;n/o;n/o;language pattern;welsh;blanche;category;n/o
leur;n/o;n/o;n/o;welsh;blanche;category;n/o
fond;n/o;n/o;narrative form;welsh;blanche;category;n/o
ou;n/o;n/o;n/o;welsh;blanche;category;n/o
là;n/o;n/o;space;welsh;blanche;category;n/o
été;n/o;space;space;welsh;blanche;category;space
nuit;n/o;space;narrative structure;welsh;blanche;category;check
mère;thematic concept;main character;main character;welsh;blanche;category;main character
notre;n/o;narrative form;narrative form;welsh;blanche;category;narrative form
rue;space;space;space;welsh;blanche;category;space
soi;n/o;narrative form;narrative form;welsh;blanche;category;narrative form
devenir;thematic concept;thematic concept;narrative structure;welsh;blanche;category;thematic concept
printemps;n/o;space;space;welsh;blanche;category;space
ni;n/o;n/o;language pattern;welsh;blanche;category;n/o
enfance;thematic concept;thematic concept;thematic concept;welsh;blanche;category;thematic concept
malheur;main character;thematic concept;thematic concept;welsh;blanche;category;thematic concept
me;n/o;narrative form;narrative form;welsh;blanche;category;narrative form
enfant;thematic concept;thematic concept;main character;welsh;blanche;category;thematic concept
hiver;n/o;space;space;welsh;blanche;category;space
blanc;n/o;narrative structure;narrative structure;welsh;blanche;category;narrative structure
pays;thematic concept;space;space;welsh;blanche;category;space
vivre;thematic concept;thematic concept;thematic concept;welsh;blanche;category;thematic concept
misère;thematic concept;thematic concept;thematic concept;welsh;blanche;category;thematic concept
vous;unexpected;expected;expected;LLR;blanche;interpretability;expected
mon;unexpected;expected;expected;LLR;blanche;interpretability;expected
on;unexpected;expected;expected;LLR;blanche;interpretability;expected
tu;unexpected;expected;expected;LLR;blanche;interpretability;expected
marie;unexpected;expected;expected;LLR;blanche;interpretability;expected
me;unexpected;expected;expected;LLR;blanche;interpretability;expected
rhada;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
le;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
lui;unexpected;expected;unexpected;LLR;blanche;interpretability;unexpected
se;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
de;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
mr;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
antoine;unexpected;expected;expected;LLR;blanche;interpretability;expected
qui;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
lalla;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
il;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
isambour;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
pas;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
comme;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
avoir;unexpected;expected;expected;LLR;blanche;interpretability;expected
paris;expected;expected;expected;LLR;blanche;interpretability;expected
ludo;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
djafar;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
prisko;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
votre;unexpected;expected;expected;LLR;blanche;interpretability;expected
mère;expected;expected;expected;LLR;blanche;interpretability;expected
camier;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
français;expected;expected;expected;LLR;blanche;interpretability;expected
jour;expected;expected;expected;LLR;blanche;interpretability;expected
te;unexpected;expected;expected;LLR;blanche;interpretability;expected
madeleine;unexpected;expected;expected;LLR;blanche;interpretability;expected
pouvoir;unexpected;expected;expected;LLR;blanche;interpretability;expected
par;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
mercier;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
planète;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
france;expected;expected;expected;LLR;blanche;interpretability;expected
saint;expected;expected;expected;LLR;blanche;interpretability;expected
vito;unexpected;unexpected;unexpected;LLR;blanche;interpretability;unexpected
demander;unexpected;expected;expected;LLR;blanche;interpretability;expected
fintan;unexpected;unexpected;expected;LLR;blanche;interpretability;unexpected
